Harry Gallatin	1962
Alex Hannum	1963
Red Auerbach	1964
Dolph Schayes	1965
Johnny Kerr	1966
Richie Guerin	1967
Gene Shue	1968
Red Holzman	1969
Dick Motta	1970
Bill Sharman	1971
Tom Heinsohn	1972
Ray Scott	1973
Phil Johnson	1974
Bill Fitch	1975
Tom Nissalke	1976
Hubie Brown	1977
Cotton Fitzsimmons	1978
Bill Fitch	1979
Jack McKinney	1980
Gene Shue	1981
Don Nelson	1982
Frank Layden	1983
Don Nelson	1984
Mike Fratello	1985
Mike Schuler	1986
Doug Moe	1987
Cotton Fitzsimmons	1988
Pat Riley	1989
Don Chaney	1990
Don Nelson	1991
Pat Riley	1992
Lenny Wilkens	1993
Del Harris	1994
Phil Jackson	1995
Pat Riley	1996
Larry Bird	1997
Mike Dunleavy	1998
Doc Rivers	1999
Larry Brown	2000
Rick Carlisle	2001
Gregg Popovich	2002
Hubie Brown	2003
Mike D'Antoni	2004
Avery Johnson	2005
Sam Mitchell	2006
Byron Scott	2007
Mike Brown	2008
Scott Brooks	2009
Tom Thibodeau	2010
Gregg Popovich	2011
George Karl	2012
Gregg Popovich	2013
Mike Budenholzer	2014
Steve Kerr	2015
Mike D'Antoni	2016
Dwane Casey	2017
Mike Budenholzer	2018
Nick Nurse	2019
Tom Thibodeau	2020
Monty Williams	2021
Mike Brown	2022
Mark Daigneault	2023
Kenny Atkinson	2024
